id,area,mean,stddev,mode,min,max,perim.,width,height,major,minor,angle,circ.,feret,intden,median,skew,kurt,%area,area_exc,fractal,skelarea,slope,histcum1,histcum2,histcum3,nb1,nb2,nb3,symetrieh,symetriev,symetriehc,symetrievc,convperim,convarea,fcons,thickr,esd,elongation,range,centroids,sr,perimareaexc,feretareaexc,perimferet,perimmajor,circex,cdexc
81,1113,188.15,47.3,235,87,246,150.17,48,34,43.2,32.8,171.2,0.62,48.5,209408,202,-0.537,-1.125,0.45,1108,1.065,90,0.078,144,200,230,1,1,0,2.041,1.988,2,2,160,1203,2.292,3.051,708,1.3030303030303,159,4,29.559748427673,0.135379061371841,0.0442238267148014,3.06122448979592,3.48837209302326,94.0779637885808,0.0036101083032491
82,1649,224.109763493026,18.9937894296508,243,163,253,295.646752981726,51,55,48.9118704957373,42.9256126986855,55.7625846933036,0.237074199307402,57.6888204074238,369557,231,-1.20401230658349,0.61529206996103,4.30563978168587,1578,1.23997053482606,304,0.195784377894607,214,229,236,1,1,0,2.07095209217708,2.16282595512432,2.42786293958521,2.51082055906222,208,2083,39.4933905117754,2.4,1048,1.13953488372093,90,4,21.1111111111111,0.187579214195184,0.0367553865652725,5.10344827586207,6.04081632653061,66.5427276156335,0.00253485424588086
83,1872,182.919871794872,55.557675025923,243,52,254,244.634559672906,63,51,55.8413972462962,42.6834668414805,177.193390874351,0.3930792224154,64.7610994347687,342426,196,-0.410959660474792,-1.26248748900963,6.99786324786325,1741,1.18824273098207,313,0.131187767406992,128,185,234,1,1,1,2.18883547008547,2.33680555555556,1.93585780525502,1.9273570324575,223,2124,61.4558426706414,2.06036942560885,1190,1.30232558139535,202,-1,27.7227722772277,0.140723721998851,0.0373348650201034,3.76923076923077,4.375,88.5751062331956,-5.74382538770821e-4
84,1957,191.62,36.062,241,125,247,207.76,56,63,57.8,43.1,44,0.57,63.8,374998,194,-0.137,-1.313,0.82,1941,1.117,176,0.128,158,192,225,2,1,0,2.441,2.461,2,2,234,2219,9.493,2.388,1244,1.34883720930233,122,-1,29.5081967213115,0.107161257083977,0.0329726944873776,3.25,3.58620689655172,116.14916839272,-5.15198351365276e-4
85,1642,226.78,13.865,243,171,248,267.4,58,50,52.1,40.1,134.1,0.289,63.6,372370,230,-1.071,0.937,1.95,1610,1.198,295,0.209,217,229,236,2,1,0,2.213,2.322,3,3,211,2044,47.156,3.544,1044,1.3,77,4,18.1818181818182,0.16583850931677,0.0397515527950311,4.171875,5.13461538461539,76.3466290155406,0.00248447204968944
86,2047,163.04,52.347,240,63,243,223.42,49,67,65.2,40,104.1,0.515,68.9,333743,164,-0.086,-1.254,0,2047,1.085,149,0.087,117,163,211,1,1,0,2.263,2.163,2,2,228,2191,5.825,1.82,1302,1.625,180,4,28.8888888888889,0.10893991206643901,0.0337078651685393,3.23188405797101,3.43076923076923,116.395297047933,0.00195407914020518
87,1036,167.64,52.587,227,64,244,151.44,55,37,56.7,23.3,154.8,0.568,60.5,173673,173,-0.167,-1.42,0.1,1035,1.058,58,0.054,113,172,215,1,1,0,2.739,2.873,3,3,180,1097,0.601,2.035,36.3190882091722,2.47826086956522,180,1.4142135623731,29.4444444444444,4.69360753480958,1.89609311008864,2.47540983606557,2.64912280701754,0.570422068587419,0.0439586982263858
88,2136,183.79,46.389,230,46,245,209.76,50,64,60.7,44.8,70.2,0.61,68,392578,190,-0.497,-0.689,0.05,2135,1.082,93,0.134,145,188,228,3,1,0,1.884,2.081,2,2,224,2313,2.737,1.538,1358,1.35555555555556,199,5,23.1155778894472,0.0983606557377049,0.0318501170960187,3.08823529411765,3.44262295081967,128.986544527196,0.00234192037470726
89,2377,210.64,28.877,243,138,250,362.7,64,60,68.3,44.3,37.1,0.227,77.2,500684,220,-0.874,-0.369,1.14,2350,1.217,348,0.211,190,219,233,2,1,0,2.072,2.112,3,3,244,3027,55.02,3.198,1512,1.54545454545455,112,5,25.8928571428571,0.154468085106383,0.0327659574468085,4.71428571428571,5.33823529411765,81.8032436114794,0.00212765957446809
90,2604,216.39,27.309,238,136,251,368.94,65,69,69.3,47.9,137.2,0.24,78.5,563483,229,-1.074,0.027,3.11,2523,1.266,457,0.272,197,227,235,2,1,0,2.161,2.232,3,3,264,3194,53.638,2.769,1656,1.4375,115,0,23.4782608695652,0.146254458977408,0.0313119302417757,4.67088607594937,5.34782608695652,85.4580945014237,0
91,825,198.235151515152,44.3503042946356,242,84,247,153.965512114594,35,40,35.5097516934464,29.5812438643544,95.6054913136991,0.437337694180009,41,163544,215,-0.880702106262584,-0.487663408810592,1.21212121212121,815,1.09206127437831,133,0.07056414756785,166,213,234,1,1,1,2.16181818181818,2.16666666666667,2.05733558178752,2.05227655986509,146,954,4.67953889266304,1.9522736034042,524,1.2,163,4,26.9938650306748,0.188957055214724,0.0503067484662577,3.75609756097561,4.27777777777778,67.3788950704127,0.0049079754601227
